rotor_radius,root_radius,n_blades,air_density,wind_speed,tip_speed_ratio,pitch,start_radius,tip_loss_correction,root_loss_correction,resolution,r_centre,r_inner,r_outer,a,a_prime,f_n,f_t,C_T,alpha,circulation,end_correction,c_l,c_d,phi,inflow_speed
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,17.537688442211056,17.43718592964824,17.63819095477387,0.14132204796802988,0.02206203071809678,965.4068508836443,310.2902209870407,0.48540050690460695,17.081361832131186,35.522643513708864,0.8648519852868839,1.0406505938500643,0.11586241479764303,0.42186020111294903,23.16014929128445
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,17.73869346733668,17.63819095477387,17.839195979899497,0.1418611992385825,0.021754483594797022,985.3634402479446,314.9350658102106,0.48694639755669483,16.824234044667232,35.910498918483235,0.8706941261376681,1.0463472819912598,0.11242886549072256,0.4163901787629159,23.381216748309587
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,17.939698492462313,17.839195979899497,18.040201005025125,0.14242081287662808,0.021455592222821614,1005.4119311116121,319.5189628061019,0.4885484997447543,16.57445141082057,36.292550749553065,0.8762857865056182,1.0518812376253248,0.10909339950400881,0.41104835352756924,23.6026159203734
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,18.14070351758794,18.040201005025125,18.241206030150757,0.14299885508554788,0.02116488600789365,1025.5474534412501,324.04218407514327,0.49020073011908144,16.3317943401365,36.66882931229754,0.8816375717580109,1.0572573257975801,0.10585308454200404,0.4058308928304687,23.82434245302781
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,18.34170854271357,18.241206030150757,18.44221105527638,0.1434962147375491,0.020882370852434582,1045.1324964935284,328.5415873146159,0.49162020437417714,16.098915903321497,37.019346638514186,0.8867390596989271,1.0618903462217477,0.10248200887494104,0.4007841014907304,24.04674709656323
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,18.542713567839197,18.44221105527638,18.643216080402013,0.14390481864627291,0.0206082404028588,1064.106850837372,333.0314897350229,0.4927848872666249,15.875659336939854,37.34295987322096,0.8915996675243133,1.0657592163833052,0.09896588863987846,0.3959052434702545,24.26984995651158
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,18.743718592964825,18.643216080402013,18.844221105527637,0.1443323123188017,0.02034182985480873,1083.156752041957,337.47561302854075,0.49400198375803833,15.658566197922418,37.66175910836583,0.8962514346882902,1.0695212789350854,0.0955468376737017,0.39113395755049163,24.49324858390525
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,18.944723618090453,18.844221105527637,19.04522613065327,0.14477697540829051,0.020082700166874544,1102.277826676226,341.87358729089465,0.4952664111996711,15.44746449830164,37.97575497428792,0.9007030433122455,1.0731795143005831,0.09222214729741116,0.38646724197513405,24.71693809305467
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,19.14572864321608,19.04522613065327,19.246231155778894,0.1452371616211979,0.01983044451182979,1121.4657269203778,346.22505135997403,0.49657331402166377,15.24218794102219,38.28495807550363,0.9049627728530386,1.076736804284019,0.08898919845952377,0.38190219431302996,24.940913629200736
50.0,10.0,3.0,1.225,10.0,6.0,-2.0,10.0,1.0,1.0,200.0,19.34673366834171,19.246231155778894,19.447236180904525,0.14569900710080425,0.019543438719948607,1140.6315109250306,349.79583832245953,0.4978832257225762,15.043871317245522,38.57930164318098,0.9090361221958729,1.0799507139215223,0.0864668851032221,0.3774586204062694,25.16431136572115
